blockgroupID,mural_presence,log_income,pop,area,black_prop,vacantprop,comresprop,pos_control,pos_control_w_noise
16_1,1,11.0093236862936,934,1155911.726,0.087794433,0.003949445,0.433985714,27,27
160_5,1,9.8034461983559,836,937122.4087,0.028708134,0.056830741,0.090867706,28,28
160_7,1,10.2018127850864,1087,979185.8174,0.015639374,0.025394234,0.018625222,29,29
161_1,1,9.7841971313448,1972,3399120.563,0.096855984,0.142869387,0.202314573,30,30
162_2,1,8.96123778149188,917,2402484.418,0.298800436,0.152503774,0.134520133,31,31
162_3,1,9.30054663986233,581,552701.2016,0.103270224,0.085281531,0.138618646,32,32
163_4,1,9.08885047438847,1021,2487768.921,0.10675808,0.161189404,0.206476488,33,33
164_1,1,9.441610810502,1316,1503718.693,0.262158055,0.087604825,0.105645797,34,34
164_4,1,8.97979449089521,1044,1600534.725,0.41954023,0.15737549,0.086961442,35,35
165_3,1,8.9138193508572,1614,2873507.348,0.869888476,0.210511065,0.164657569,1,1
167.02_3,1,9.11668881589473,763,1664315.624,0.876802097,0.146145087,0.344832827,2,2
169.02_2,1,9.53111867191715,776,1566683.103,0.979381443,0.143266268,0.116216087,3,3
17_1,1,11.0482675220492,1197,1250824.353,0.039264829,0.000804195,0.081008094,4,4
174_1,1,9.24619002486988,1254,1933745.094,0.862838915,0.205264109,0.157270033,5,5
174_2,1,9.43019853229886,1165,1872994.44,0.946781116,0.195424218,0.115678082,6,6
175_1,1,8.95144010094985,1631,1578754.42,0.368485592,0.126228269,0.042750525,7,7
175_3,1,9.17045543827727,768,1273436.901,0.350260417,0.024037549,0.286979553,8,8
175_6,1,9.28079883562474,1327,1722163.295,0.186134137,0.177564382,0.071800207,9,9
176.01_2,1,8.95325216460903,713,885818.0117,0.051893408,0.162709048,0.276758433,10,10
176.01_3,1,9.06195636620992,1565,1769969.805,0.061980831,0.127694551,0.339855658,11,11
176.01_5,1,9.1728461675486,737,1267752.688,0.062415197,0.202826557,0.36686869,12,12
177.01_2,1,9.01627006814768,1098,851553.6084,0.318761384,0.057744142,0.238314952,13,13
177.02_2,1,8.83127373772255,1110,950267.0806,0.154054054,0.122350474,0.110476676,14,14
178_7,1,9.52427481557203,966,1274592.139,0.208074534,0.130877626,0.16572125,15,15
179_5,1,8.97182934353085,1145,2965521.682,0.292576419,0.260300333,0.221633564,16,16
18_1,1,10.9291527334482,888,705883.153,0.038288288,0.027903123,0.081334127,17,17
18_2,1,10.8667954491733,1985,1899666.279,0.252392947,0.005886661,0.226772154,18,18
19_3,1,10.0693832742482,632,1340691.009,0.591772152,0.12903856,0.377730932,19,19
195.01_1,1,8.92212482391826,1651,2046977.563,0.090854028,0.18803628,0.164624483,20,20
195.01_2,1,9.30982365046113,1823,1249105.058,0.132199671,0.029159107,0.14248558,21,21
195.01_3,1,9.13183814382123,1453,939995.9224,0.099793531,0.113197497,0.088118731,22,22
198_1,1,9.32107641357085,1045,2574759.207,0.548325359,0.013142249,0.309113071,23,23
199_3,1,9.13205445357764,1079,1382336.13,0.72381835,0.061156625,0.028013584,24,24
199_4,1,9.12085320547465,1150,3355463.132,0.405217391,0.069704243,0.337222447,25,25
2_1,1,10.4753141978595,2937,4110744.574,0.09669731,0.000634861,0.691252693,26,26
200_2,1,9.58918768218006,724,2067048.005,0.716850829,0.033316048,0.21489277,27,27
201.01_1,1,10.0148052886681,1559,2863111.886,0.906350225,0.123962725,0.079096774,28,28
201.01_2,1,9.1838937219612,559,798887.2254,0.872987478,0.109364535,0.200924516,29,29
203_1,1,9.51347739898282,1358,2285582.495,0.893961708,0.102481312,0.190448382,30,30
209_3,1,10.3785098173368,683,2641466.543,0.035139092,0.013506162,0.440970852,31,31
21_1,1,10.2355213825584,747,969612.911,0.816599732,0.046511153,0.202359562,32,32
212_1,1,10.364545034068,1150,3827264.668,0.080869565,0.014310194,0.106347141,33,33
214_1,1,10.4078322202024,649,2634779.183,0.077041602,0.142843184,0.404042564,34,34
215_4,1,10.3720526475875,945,3819767.244,0.075132275,0.099422135,0.010452313,35,35
216_2,1,10.2256797414505,916,18836209.03,0.124454148,0.045142122,0.244773475,1,1
23_1,1,10.2468289991624,989,762267.7839,0.067745197,0.013529064,0.125521799,2,2
23_2,1,10.250581747318,1693,1519623.485,0.033077377,0.008061785,0.145949393,3,3
231_1,1,11.3795540595471,1262,7902220.768,0.032488114,0.012267843,0.043457695,4,4
238_3,1,9.96918165573149,810,1350616.075,0.591358025,0.024680851,0.145709845,5,5
