"blockgroupID","X","blockcount","blockgroup","censustract","total","white","black","asian","other","hispanic","area","income","poverty.1.verypoor","poverty.2.poor","poverty.3.middle","poverty.4.uppermiddle","segregationmetric","povertymetric","vacantprop","comresprop","whiteprop","blackprop","asianprop","otherprop","hispanicprop","violentcrime.2006","violentcrime.2007","violentcrime.2008","violentcrime.2009","violentcrime.2010","violentcrime.2011","violentcrime.2012","violentcrime.2013","violentcrime.2014","violentcrime.2015","violentcrime.2016","nonviolentcrime.2006","nonviolentcrime.2007","nonviolentcrime.2008","nonviolentcrime.2009","nonviolentcrime.2010","nonviolentcrime.2011","nonviolentcrime.2012","nonviolentcrime.2013","nonviolentcrime.2014","nonviolentcrime.2015","nonviolentcrime.2016","mural_count","violentcrime_total","nonviolentcrime_total","mural_presence"
"298_1",709,9,1,298,1042,327,406,28,36,245,2041247.157,16609,0.03051882,0.11698881,0.428280773,0.424211597,0.123180607,0.263496484,0,0.006877115,0.313819578,0.389635317,0.026871401,0.034548944,0.23512476,30,33,32,30,32,32,15,23,21,21,15,38,40,47,46,52,56,32,33,27,37,30,0,461,521,"0"
"298_2",710,10,2,298,1055,371,394,31,31,228,981760.8597,10928,0.165301564,0.17274758,0.297096054,0.364854803,0.099004533,0.397962002,0,0.062744741,0.351658768,0.373459716,0.029383886,0.029383886,0.216113744,33,30,43,26,43,31,35,39,34,33,10,54,50,58,44,63,63,50,44,37,35,19,0,1129,881,"0"
"298_3",711,11,3,298,745,328,216,15,9,177,940308.3129,17237,0.093667546,0.062005277,0.254617414,0.589709763,0.185654338,0.230574318,0.002360486,0,0.440268456,0.289932886,0.020134228,0.012080537,0.237583893,13,26,29,29,17,25,30,36,39,17,19,38,29,31,32,42,37,35,26,27,19,20,0,401,435,"0"
"298_4",712,22,4,298,1049,416,325,17,28,263,2307178.077,12755,0.099022005,0.402200489,0.223716381,0.275061125,0.158120492,0.463218731,0.021158743,0.232267343,0.39656816,0.309818875,0.01620591,0.026692088,0.250714967,44,50,57,61,57,48,39,41,51,51,26,69,90,89,69,86,82,69,61,68,60,47,0,405,482,"0"
"298_5",713,10,5,298,824,252,317,28,16,211,712537.0154,12493,0.186790506,0.317853457,0.174406605,0.320949432,0.133231575,0.479053957,0,0.107262374,0.305825243,0.384708738,0.033980583,0.019417476,0.256067961,61,48,39,34,37,45,53,36,28,45,35,64,44,50,60,42,46,63,47,42,38,25,0,667,788,"0"
"299_1",714,12,1,299,1402,94,961,18,28,301,2252550.318,12465,0.287513116,0.33158447,0.132214061,0.248688353,0.355925905,0.579527862,0.030767604,0.083644174,0.067047076,0.685449358,0.012838802,0.019971469,0.214693295,101,137,106,103,103,118,106,104,77,83,91,86,90,101,85,92,92,79,86,46,68,56,0,258,617,"0"
"299_2",715,13,2,299,821,275,222,23,22,279,1928418.088,10590,0.125585754,0.098406748,0.583880037,0.19212746,0.220132968,0.404587697,0.01590799,0.069967546,0.334957369,0.270401949,0.028014616,0.02679659,0.339829476,42,38,47,51,26,40,45,31,34,32,15,51,42,39,51,61,29,40,46,25,28,23,0,134,329,"0"
"299_3",716,8,3,299,875,216,328,23,22,286,736866.6144,12631,0.112164297,0.255924171,0.45971564,0.172195893,0.205506902,0.457232151,0,0.159278136,0.246857143,0.374857143,0.026285714,0.025142857,0.326857143,37,56,37,33,35,38,34,43,40,32,20,45,56,44,47,49,51,51,48,30,41,20,0,390,1252,"0"
"299_4",717,18,4,299,1602,265,842,6,23,466,1444204.752,11717,0.24341637,0.250533808,0.210676157,0.295373665,0.272262653,0.504049573,0.00295901,0.035250535,0.165418227,0.525593009,0.003745318,0.014357054,0.290886392,73,52,65,63,72,79,71,51,51,57,33,70,80,88,80,99,77,78,66,51,60,39,0,1027,3664,"0"
"3_1",1110,47,1,3,693,483,60,80,17,53,3470210.544,36558,0.10589651,0.054151625,0.309265945,0.530685921,0.381157585,0.257010177,0.012206771,0.589962924,0.696969697,0.086580087,0.115440115,0.024531025,0.076479076,103,98,68,96,79,94,103,80,98,135,102,294,278,296,254,382,337,287,352,312,247,151,4,161,288,"1"
"3_2",1111,29,2,3,2476,1807,264,248,75,82,2427148.127,71236,0.076067616,0.038256228,0.103647687,0.78202847,0.40447523,0.142743555,0,0.11741087,0.729806139,0.106623586,0.100161551,0.030290792,0.033117932,29,19,18,18,12,22,12,10,14,21,5,154,133,136,126,128,128,113,70,77,52,31,0,266,449,"0"
"30.01_1",722,5,1,30.01,802,167,81,462,34,58,337869.1028,20189,0,0,0.043419267,0.956580733,0.532032238,0.015177234,0,0.129900401,0.208229426,0.100997506,0.57605985,0.042394015,0.072319202,12,26,21,23,21,15,13,10,4,9,7,29,36,46,17,33,34,27,18,15,22,11,0,218,352,"0"
"30.01_2",723,8,2,30.01,778,311,52,360,14,41,560463.2423,23833,0.037800687,0.073310424,0.218785796,0.670103093,0.430341326,0.167367902,0.001261072,0.13773834,0.399742931,0.066838046,0.462724936,0.017994859,0.052699229,45,27,37,24,24,28,25,21,12,13,10,56,50,57,37,61,54,54,30,17,20,13,0,220,332,"0"
"30.01_3",724,8,3,30.01,1107,188,206,584,32,97,517146.8044,15128,0.006692161,0.163479924,0.443594646,0.38623327,0.47003727,0.276365584,0,0.057714004,0.169828365,0.186088528,0.527551942,0.028906956,0.08762421,31,30,39,25,18,15,20,17,9,9,5,35,20,38,24,57,63,33,29,11,36,6,0,192,294,"0"
"30.01_4",725,8,4,30.01,1266,131,428,589,36,82,545799.9048,10610,0.162900188,0.289077213,0.379472693,0.168549906,0.407259257,0.505564805,0.004177656,0.063956617,0.103475513,0.33807267,0.465244866,0.028436019,0.064770932,32,36,20,18,24,21,14,15,19,15,6,34,35,29,31,36,46,47,25,23,20,6,0,259,443,"0"
"30.01_5",726,6,5,30.01,711,91,248,282,30,60,472645.9643,12900,0.002777778,0.086111111,0.293055556,0.618055556,0.352396938,0.165551079,0.007583382,0.094101401,0.127988748,0.348804501,0.396624473,0.042194093,0.084388186,20,26,18,11,19,17,17,23,17,18,6,23,32,40,38,18,31,27,29,24,23,9,0,205,292,"0"
"30.02_1",727,8,1,30.02,929,188,547,99,32,63,687289.1605,20589,0.08677686,0.136363636,0.393939394,0.38292011,0.222015019,0.324032505,0.025531515,0.136629675,0.202368138,0.588805167,0.1065662,0.03444564,0.067814855,37,30,25,16,31,18,25,31,19,16,11,39,48,54,37,51,54,35,35,28,39,23,2,227,334,"1"
"30.02_2",728,8,2,30.02,808,103,561,44,41,59,533045.9378,16281,0.144295302,0.248322148,0.231543624,0.375838926,0.300012432,0.405854129,0.076130291,0.063317069,0.127475248,0.694306931,0.054455446,0.050742574,0.073019802,26,27,21,24,22,14,20,19,18,5,9,28,24,48,23,29,29,23,24,22,32,10,0,269,362,"0"
"30.02_3",729,9,3,30.02,625,36,538,6,9,36,605264.0833,15841,0.024922118,0.277258567,0.174454829,0.523364486,0.439419638,0.280947264,0.146351406,0.080372026,0.0576,0.8608,0.0096,0.0144,0.0576,37,24,27,17,24,24,12,19,15,25,3,38,47,51,31,28,28,33,17,22,24,15,0,146,224,"0"
"30.02_4",730,8,4,30.02,838,206,334,181,12,105,612808.2103,18784,0.200320513,0.173076923,0.278846154,0.34775641,0.15568748,0.428535673,0.017390814,0.126846842,0.245823389,0.398568019,0.215990453,0.014319809,0.125298329,27,34,28,29,24,28,16,19,21,35,8,38,26,43,24,30,42,49,38,33,23,16,4,576,510,"1"
"300_1",731,3,1,300,639,181,262,19,26,151,1562972.197,20815,0.091836735,0.25,0.183673469,0.474489796,0.130502207,0.335283292,0.001348053,0.014789828,0.283255086,0.410015649,0.029733959,0.040688576,0.236306729,16,12,11,18,14,13,24,14,8,10,6,28,19,25,26,18,21,23,23,14,15,12,0,433,537,"0"
"300_2",732,12,2,300,1168,181,650,34,39,264,897776.3949,11959,0.144736842,0.26006192,0.18498452,0.410216718,0.248051198,0.398249675,0.033720613,0.005630495,0.154965753,0.556506849,0.029109589,0.033390411,0.226027397,55,58,67,72,58,63,43,41,44,47,28,43,48,52,54,75,58,39,34,36,55,16,0,856,1240,"0"
"300_3",733,12,3,300,1115,103,749,9,25,229,1349865.308,12472,0.130804954,0.192724458,0.26625387,0.410216718,0.332913297,0.364972019,0.061121529,0.039857555,0.092376682,0.671748879,0.008071749,0.022421525,0.205381166,51,41,35,44,56,36,43,36,31,34,26,71,49,42,62,62,51,38,39,56,37,30,0,375,353,"0"
"300_4",734,11,4,300,1052,181,566,41,32,232,1103744.24,19610,0.148648649,0.226351351,0.137837838,0.487162162,0.221099925,0.362304542,0.020210418,0.426156743,0.172053232,0.538022814,0.038973384,0.030418251,0.220532319,82,82,86,73,92,77,65,80,72,98,49,126,113,90,98,99,123,159,139,125,123,45,0,1002,1051,"0"
"300_5",735,19,5,300,971,33,826,0,20,92,1322393.653,18834,0,0.017615176,0.386178862,0.596205962,0.429289051,0.147303872,0.088024882,0.030433025,0.033985582,0.850669413,0,0.020597322,0.094747683,53,24,39,40,41,48,38,27,20,34,11,33,31,38,24,32,34,33,34,40,36,18,0,1301,1249,"0"
"300_6",736,13,6,300,854,88,528,21,30,187,1637135.047,14227,0.128544423,0.281663516,0.223062382,0.366729679,0.30449188,0.40968131,0.035767686,0.396033866,0.103044496,0.618266979,0.024590164,0.035128806,0.218969555,91,89,94,82,102,98,104,102,105,80,55,95,92,87,108,100,119,113,85,108,86,58,0,711,707,"0"
"300_7",737,14,7,300,1679,403,870,23,53,330,1924627.186,11968,0.287543655,0.164144354,0.233410943,0.314901048,0.178404087,0.497875716,0.01498079,0.167125408,0.240023824,0.518165575,0.01369863,0.031566409,0.196545563,134,103,122,122,145,115,136,113,109,129,73,131,109,116,124,135,122,115,110,110,124,53,0,994,1121,"0"
"301_1",738,8,1,301,975,122,606,12,36,199,1134777.923,10203,0.181340342,0.018396846,0.632063075,0.168199737,0.294690643,0.42396224,0.031953215,0.029625851,0.125128205,0.621538462,0.012307692,0.036923077,0.204102564,105,96,124,79,59,61,35,39,35,40,38,73,95,106,87,68,62,44,34,54,47,37,0,191,309,"0"
"301_2",739,13,2,301,1872,350,1078,33,64,347,2094176.831,14656,0.129855716,0.380688124,0.162042175,0.327413984,0.227532524,0.458954981,0.005102665,0.029355193,0.186965812,0.575854701,0.017628205,0.034188034,0.185363248,109,88,83,106,116,90,98,86,78,92,48,146,121,112,116,120,122,101,82,75,72,54,0,207,361,"0"
"301_3",740,6,3,301,802,241,317,7,29,208,921228.7308,18983,0.140366173,0.159546643,0.280732345,0.419354839,0.149018124,0.356864717,0,0.002254286,0.300498753,0.395261845,0.00872818,0.036159601,0.259351621,19,19,25,25,14,7,20,14,20,21,7,48,23,28,31,32,35,18,27,23,28,16,0,250,565,"0"
"301_4",741,10,4,301,848,226,357,21,29,215,1751016.107,22742,0,0,0.332857143,0.667142857,0.141242751,0.116350436,0.111826995,0.012915287,0.266509434,0.420990566,0.024764151,0.034198113,0.253537736,19,14,26,26,22,22,23,18,11,20,6,41,30,53,29,40,38,34,26,32,22,16,0,1613,1986,"0"
"301_5",742,16,5,301,1372,438,644,24,47,219,1899434.497,17331,0.031875,0,0.44,0.528125,0.095391847,0.187228076,0.022876815,0.008226837,0.319241983,0.469387755,0.017492711,0.03425656,0.159620991,29,23,18,27,30,28,16,18,21,28,12,70,44,41,47,53,89,64,38,37,52,30,0,373,480,"0"
"302_1",743,17,1,302,1672,343,880,19,58,372,3472433.58,15067,0.059857482,0.210926366,0.314014252,0.4152019,0.215619364,0.319992463,0.023189274,0.026012672,0.205143541,0.526315789,0.011363636,0.034688995,0.222488038,158,129,132,136,133,130,131,122,194,224,124,159,157,155,132,171,200,163,180,210,296,163,0,723,775,"0"
"302_2",744,9,2,302,1572,291,743,35,35,468,1079399.09,12572,0.177083333,0.120192308,0.398237179,0.304487179,0.226139486,0.408929465,0.001067314,0.023392405,0.185114504,0.47264631,0.022264631,0.022264631,0.297709924,44,30,38,42,48,30,26,38,29,31,17,43,41,56,53,66,36,43,39,50,30,23,0,507,508,"0"
"302_3",745,13,3,302,1532,285,715,16,78,438,1445292.281,18974,0.063699156,0.056024559,0.217191097,0.663085188,0.235651345,0.181884384,0,0.011985419,0.186031332,0.466710183,0.010443864,0.050913838,0.285900783,46,34,60,48,91,97,69,65,90,78,45,60,63,50,64,102,99,70,78,76,73,40,0,417,550,"0"
"302_4",746,18,4,302,1109,323,497,40,40,209,2318870.416,22108,0,0.276400367,0.207529844,0.516069789,0.104804629,0.26577406,0,0.054211061,0.291253381,0.448151488,0.03606853,0.03606853,0.18845807,59,51,40,42,61,69,52,28,44,33,28,46,52,43,49,61,59,54,46,44,34,20,0,289,465,"0"
"302_5",747,11,5,302,1460,303,676,58,49,374,1385189.963,22070,0.072701354,0.111190306,0.151817534,0.664290805,0.184866267,0.207039632,0.00691357,0.149151052,0.207534247,0.463013699,0.039726027,0.033561644,0.256164384,48,44,48,33,30,37,37,31,42,44,23,48,55,58,71,44,66,47,41,50,45,25,0,309,517,"0"
"305.01_1",748,10,1,305.01,1269,286,574,100,61,248,1627811.767,18753,0.065099458,0.252260398,0.216094033,0.466546112,0.143987314,0.32015807,0.004608795,0.073804441,0.22537431,0.452324665,0.078802206,0.048069346,0.195429472,25,29,31,28,22,28,20,31,33,31,11,45,35,64,38,52,45,42,45,37,37,25,0,475,795,"0"
"305.01_2",749,11,2,305.01,1772,305,908,108,41,410,1150867.641,13689,0.110709117,0.174746744,0.284732272,0.429811867,0.199575577,0.337789374,0,0.001350766,0.172121896,0.51241535,0.060948081,0.023137698,0.231376975,25,34,28,31,34,31,21,28,25,33,19,59,55,46,47,60,65,60,40,31,33,21,0,314,397,"0"
